asset,periods_held,total_contribution,mean_per_period,sharpe
FE,104,4.446101689441461e-05,4.275097778309097e-07,0.0743536328834047
VTRS,74,2.436212107028354e-05,3.292178523011289e-07,0.02920598344233587
RMD,20,-1.4138644884275984e-05,-7.069322442137992e-07,-0.08465573241059669
DIS,41,-1.4395979975791203e-05,-3.511214628241757e-07,-0.04751901569550474
HII,219,-2.2146314958764162e-05,-1.0112472583910576e-07,-0.0070832533423167135
CTRA,9,-2.2449048555775843e-05,-2.4943387284195382e-06,-0.13935852370861723
XEL,147,-2.5457859073164084e-05,-1.7318271478342913e-07,-0.027338332664288353
PNR,244,-4.633400977953903e-05,-1.8989348270302882e-07,-0.01979322006577444
VZ,6,-5.325286393054109e-05,-8.875477321756848e-06,-2.6111444666201846
AMP,232,-5.4338333178578606e-05,-2.3421695335594228e-07,-0.02428230950513745
KDP,7,-6.907432975871787e-05,-9.867761394102554e-06,-2.140251476456034
CME,253,-7.398822539497128e-05,-2.924435786362501e-07,-0.04357669391441955
MAA,58,-8.112856836698794e-05,-1.3987684201204818e-06,-0.18625464863595684
LH,77,-8.833727036387867e-05,-1.1472372774529697e-06,-0.10956084860011533
BALL,10,-0.00010104676960282433,-1.0104676960282434e-05,-1.1023235015055806
K,172,-0.00010609214173088312,-6.168147775051344e-07,-0.408021173296565
CVS,89,-0.00010847370356758648,-1.2188056580627694e-06,-0.08893450804213864
AKAM,129,-0.00010858342478505239,-8.417319750779255e-07,-0.10377602803411598
DLTR,152,-0.00011272982456223647,-7.416435826462925e-07,-0.049508048644963006
EQR,33,-0.00012237708117808296,-3.708396399335847e-06,-0.3581333825984659
MMM,146,-0.00012491813360600824,-8.556036548356729e-07,-0.09007632208524856
BXP,8,-0.00014113642989499583,-1.764205373687448e-05,-1.6852484809921278
HD,7,-0.00015867265776284788,-2.2667522537549697e-05,-2.7559822796649294
JNPR,105,-0.00016068722504565755,-1.5303545242443576e-06,-0.30831158994475066
AON,98,-0.00018029045333705536,-1.8396985034393404e-06,-0.29665504280199434
SRE,56,-0.00019029714310409793,-3.3981632697160346e-06,-0.5457230999343328
MCD,54,-0.00019309140826031038,-3.5757668196353774e-06,-0.8244337982441773
VST,98,-0.0002170864474184002,-2.215167830800002e-06,-0.12388231341456424
BMY,28,-0.00022118196835526797,-7.899356012688142e-06,-1.0008106670559318
LUV,38,-0.0002239213999248876,-5.89266841907599e-06,-0.38893590199620737
HSY,10,-0.00022764663790851323,-2.2764663790851323e-05,-2.3308280435984448
AVY,64,-0.00023971597438084884,-3.745562099700763e-06,-0.4928782838415113
COP,28,-0.0002416164611878569,-8.629159328137746e-06,-0.9196072304841393
ABT,93,-0.00024189852937674805,-2.6010594556639577e-06,-0.30544567321225935
ES,24,-0.00024271257626827828,-1.0113024011178262e-05,-1.546848729312727
EXR,19,-0.0002602799854017971,-1.3698946600094584e-05,-1.6207929050579728
DUK,113,-0.0002725066408164612,-2.4115631930660285e-06,-0.3689772992093756
NDSN,85,-0.00027954976922352106,-3.2888208143943655e-06,-0.4162746382426203
IT,101,-0.000292606665301349,-2.8970956960529605e-06,-0.26533171525213756
FDX,131,-0.0002946178744779314,-2.2489914082284843e-06,-0.15652474333409835
ESS,68,-0.0003019653159531491,-4.440666411075721e-06,-0.4340653745268776
