period,drawdown
2016-03-31,-0.03608403964591822
2016-04-30,-0.028552469657752932
2016-05-31,-0.017783369001747817
2016-06-30,-0.0061249976904353964
2016-07-31,-0.014412020670911185
2016-08-31,-0.0152028027885176
2016-09-30,-0.031495604330680216
2016-10-31,-0.012427431101375896
2016-11-30,-0.009705858745660323
2016-12-31,0.0
2017-07-31,-0.009833990229692113
2017-08-31,0.0
2017-09-30,0.0
2017-10-31,0.0
2017-11-30,0.0
2017-12-31,0.0
2018-01-31,-0.027360474183742434
2018-02-28,-0.039419618524311084
2018-03-31,-0.042172615382406686
2018-04-30,-0.031512015271987215
2018-05-31,-0.030840647461521487
2018-06-30,-0.020024753422347108
2018-07-31,-0.006308810332154913
2018-08-31,-0.0034315711441013086
2018-09-30,-0.039795615666770146
2018-10-31,-0.02771107495495695
2018-11-30,-0.052919704434666426
2018-12-31,-0.027655512443019004
2019-01-31,-0.02308129728261854
2019-02-28,-0.01773356607816845
2019-03-31,-0.008852457776303058
2019-04-30,-0.027313922596436502
2019-05-31,0.0
2019-06-30,0.0
2019-07-31,-0.0005194577392090283
2019-08-31,0.0
2019-09-30,-2.768623175164464e-06
2019-10-31,0.0
2019-11-30,0.0
2019-12-31,-0.010355509272222507
2020-01-31,-0.0727055048736166
2020-02-29,-0.15275387829949316
2020-03-31,-0.13470995678531694
2020-04-30,-0.1313353264737972
2020-05-31,-0.12797126276793602
2020-06-30,-0.1067722012754363
2020-07-31,-0.09533758518212843
2020-08-31,-0.10459402228928938
2020-09-30,-0.11251645052102299
2020-10-31,-0.07435766413853417
2020-11-30,-0.06510801324281335
2020-12-31,-0.07263239998174476
2021-01-31,-0.045548826497688766
2021-02-28,-0.012946512949866262
2021-03-31,0.0
2021-04-30,0.0
2021-05-31,-0.006307709269481876
2021-06-30,0.0
2021-07-31,0.0
2021-08-31,-0.033927170095926495
2021-09-30,0.0
2021-10-31,-0.014890361358506188
2021-11-30,0.0
2021-12-31,-0.034068031403847954
2022-01-31,-0.04310591179952861
2022-02-28,-0.02526243459643751
2022-03-31,-0.04372311144979446
2022-04-30,-0.040010950068190665
2022-05-31,-0.061108477341901835
2022-06-30,-0.04854757797462461
2022-07-31,-0.049166600537649985
2022-08-31,-0.06771563344381282
2022-09-30,-0.04614756726192171
2022-10-31,-0.04626017641419755
2022-11-30,-0.05272678849434498
2022-12-31,-0.05101120900180722
2023-01-31,-0.0554470112657679
2023-02-28,-0.060830387974595945
2023-03-31,-0.05781763514506888
2023-04-30,-0.05942890546318236
2023-05-31,-0.040831276641526526
2023-06-30,-0.0341077012924047
2023-07-31,-0.04210925138657473
2023-08-31,-0.06712563949049977
2023-09-30,-0.09160700485686357
2023-10-31,-0.06298052546494992
2023-11-30,-0.05533388807230921
2023-12-31,-0.046271076278283085
2024-01-31,-0.02832036822954931
2024-02-29,-0.0040759042652814825
2024-03-31,-0.0310077067107567
2024-04-30,-0.031830298989362626
2024-05-31,-0.027308584591715368
2024-06-30,-0.010385313116020312
2024-07-31,0.0
2024-08-31,0.0
2024-09-30,-0.00214067337385182
2024-10-31,0.0
2024-11-30,-0.04186373092878293
2024-12-31,-0.011817200245266779
2025-01-31,-0.021965585213999606
2025-02-28,-0.042857697961958374
2025-03-31,-0.04825644223119108
2025-04-30,-0.03905106724477214
2025-05-31,-0.03735873826092062
2025-06-30,-0.031363685307656985
2025-07-31,-0.026248794704427203
2025-08-31,-0.018693631949816103
2025-09-30,-0.021009039993673317
2025-10-31,-0.014140957299574541
2025-11-30,-0.009902670830834515
2025-12-31,0.0
2026-01-31,0.0
2026-02-28,-0.04192245306623499
2026-03-31,-0.0009900418704801295
2026-04-30,0.0
2026-05-31,0.0
2026-06-30,0.0
