period,breadth
2016-04-30,0.598019801980198
2016-05-31,0.6653465346534654
2016-06-30,0.6962524654832347
2016-07-31,0.6297029702970297
2016-08-31,0.7465346534653465
2016-09-30,0.7603960396039604
2016-10-31,0.6871287128712872
2016-11-30,0.5148514851485149
2016-12-31,0.5663366336633663
2017-07-31,0.5948616600790514
2017-08-31,0.6818181818181818
2017-09-30,0.6495049504950495
2017-10-31,0.6758893280632411
2017-11-30,0.6693069306930693
2017-12-31,0.7599206349206349
2018-01-31,0.7782178217821782
2018-02-28,0.7980198019801981
2018-03-31,0.6158415841584158
2018-04-30,0.5188118811881188
2018-05-31,0.45742574257425744
2018-06-30,0.4633663366336634
2018-07-31,0.500990099009901
2018-08-31,0.6257425742574257
2018-09-30,0.642292490118577
2018-10-31,0.6435643564356436
2018-11-30,0.3801980198019802
2018-12-31,0.4525691699604743
2019-01-31,0.17623762376237623
2019-02-28,0.41304347826086957
2019-03-31,0.5881188118811881
2019-04-30,0.5584158415841585
2019-05-31,0.7148514851485148
2019-06-30,0.4752475247524752
2019-07-31,0.7306930693069307
2019-08-31,0.700990099009901
2019-09-30,0.5366336633663367
2019-10-31,0.6376237623762376
2019-11-30,0.6482213438735178
2019-12-31,0.7267326732673267
2020-01-31,0.7762376237623763
2020-02-29,0.6613861386138614
2020-03-31,0.21188118811881188
2020-04-30,0.07920792079207921
2020-05-31,0.2396039603960396
2020-06-30,0.4031620553359684
2020-07-31,0.3794466403162055
2020-08-31,0.5287128712871287
2020-09-30,0.6297029702970297
2020-10-31,0.6079207920792079
2020-11-30,0.6217821782178218
2020-12-31,0.883399209486166
2021-01-31,0.8831683168316832
2021-02-28,0.807920792079208
2021-03-31,0.7663366336633664
2021-04-30,0.8831683168316832
2021-05-31,0.9207920792079208
2021-06-30,0.904950495049505
2021-07-31,0.899009900990099
2021-08-31,0.8297029702970297
2021-09-30,0.7702970297029703
2021-10-31,0.5683168316831683
2021-11-30,0.6475247524752475
2021-12-31,0.5089108910891089
2022-01-31,0.689108910891089
2022-02-28,0.4880952380952381
2022-03-31,0.42574257425742573
2022-04-30,0.49603174603174605
2022-05-31,0.3492063492063492
2022-06-30,0.3499005964214712
2022-07-31,0.1848906560636183
2022-08-31,0.3220675944333996
2022-09-30,0.24158415841584158
2022-10-31,0.11530815109343936
2022-11-30,0.3630952380952381
2022-12-31,0.5641025641025641
2023-01-31,0.5119047619047619
2023-02-28,0.658051689860835
2023-03-31,0.5988142292490118
2023-04-30,0.49502982107355864
2023-05-31,0.5148514851485149
2023-06-30,0.4158415841584158
2023-07-31,0.5584158415841585
2023-08-31,0.6884920634920635
2023-09-30,0.5346534653465347
2023-10-31,0.37549407114624506
2023-11-30,0.2624254473161034
2023-12-31,0.5533596837944664
2024-01-31,0.7654075546719682
2024-02-29,0.7306930693069307
2024-03-31,0.6923076923076923
2024-04-30,0.8316831683168316
2024-05-31,0.7341269841269841
2024-06-30,0.6383399209486166
2024-07-31,0.6309523809523809
2024-08-31,0.705765407554672
2024-09-30,0.6936758893280632
2024-10-31,0.7554671968190855
2024-11-30,0.6646825396825397
2024-12-31,0.7154150197628458
2025-01-31,0.5
2025-02-28,0.5711462450592886
2025-03-31,0.5009861932938856
2025-04-30,0.3518886679920477
2025-05-31,0.29108910891089107
2025-06-30,0.4305555555555556
2025-07-31,0.4930966469428008
2025-08-31,0.5762376237623762
2025-09-30,0.6324110671936759
2025-10-31,0.6170634920634921
2025-11-30,0.5276679841897233
2025-12-31,0.5601577909270217
2026-01-31,0.5722772277227722
2026-02-28,0.6071428571428571
2026-03-31,0.6351084812623274
2026-04-30,0.3774703557312253
2026-05-31,0.525691699604743
2026-06-30,0.5425742574257426
